Country,Curency,Exchange_to_eur,Family_of_4_monthly_costs,Single_person_monthly_costs,Meal_Inexpensive_Restaurant,Meal_for_2_People_3course,McMeal_at_McDonalds,Domestic_Beer,Imported_Beer,Cappuccino,Coke,Water,Milk_1l,Loaf_of_bread,Rice_1kg,Eggs_12,Local_Cheese_1kg,Chicken_Fillets_1kg,Beef_Round_1kg,Apples_1kg,Banana_1kg,Oranges_1kg,Tomato_1kg,Potato_1kg,Onion_1kg,Lettuce,Water_bottle,Bottle_of_Wine,Domestic_Beer,Cigarettes_20_Pack,One_way_Ticket_Local_Transport,Monthly_Pass,Taxi_Start,Taxi_1km,Taxi_1hour_Waiting,Gasoline_1l,VW_Golf_1p4,Toyota_Corolla_Sedan_1.6l,Basic_bills_for85m2_Apartment,Prepaid_mobile_1min,Internet,Fitness_Club_1_Adult,Tennis_Court_Rent,Cinema,Preschool_for_1_Child,International_Primary_School_Yearly_1_Child,Jeans,Summer_Dress,Running_Shoes,1_Men_Leather_Business_Shoes,Apartment_1_bed_CityCentre,Apartment_1_bed_OutsideCentre,Apartment_3_bed_CityCentre,Apartment_3_bed_OutsideCentre,For_1m2_to_Buy_apartment_CityCentre,For_1m2_to_Buy_Apartment_OutsideCentre,Average_Monthly_Net_Salary,Mortgage_Interest_Rate_%
Albania,Lek,0.0083,175470.62,50069.88,525,3000,500,150,147,137.55,131.84,65.84,128.94,69.13,135.02,213,614.57,509.84,870.11,101.87,172.17,120.39,114.54,75.93,71.4,78.25,55.24,736.48,99.57,330,40,1600,300,300,1500,189.16,2000000,2203997.11,9380.3,29.94,1946.18,3502.06,1438.75,700,14881.72,303339.16,4721.79,3559.93,8286.37,9090.29,35915.55,21735.64,61835.11,37776.97,180921.3,91157,44339.07,4.83
Czech+Republic,Kč,0.04,49470.64,14783.81,160,800,155,40,31.96,56.08,32.14,26.64,18.76,25.52,39.92,40.92,200.19,147.53,240.26,35,30.2,38.33,64.66,18.48,18.84,25.25,12.58,120,17.59,120,30,500,40,28,300,46.22,500000,520195.93,5056.51,3.41,474.57,852.69,258.78,180,8442.19,170709.39,1970.85,855.95,1812.31,2158.26,15524.87,12060.53,26709.88,20136.61,111239.04,86807.73,33551.95,3.28
Denmark,kr,0.13,24923.59,6941.32,130,600,79,50,15.83,37.49,23.14,19.12,10.17,18.4,14.71,25.92,78.95,65.89,97.21,19.68,18.93,19.74,24.89,12.47,10.72,11.91,9.5,60,12.09,55,24,465,50,15,429.2,14.39,270000,266084.13,1304.8,0.92,236.5,241.08,167.92,110,2993.07,42203.04,687.98,288.34,694.76,976.92,7075.14,5198.66,12578.06,9483.4,35072.81,24703.94,23914.32,1.6
Austria,€,1,2966.15,850.36,13,55,8,3.85,1.58,3.15,2.65,2.15,1.14,1.94,1.98,3.11,13.42,10.5,16.32,2.21,1.73,2.46,2.7,1.55,1.39,1.37,0.59,7,1.07,5.7,2.4,49,5,1.8,27.6,1.72,23460,19777.21,218.29,0.07,33.89,33.32,20.32,11,319.95,7601.07,87.09,33.81,85.7,104.95,721.92,595.06,1332.98,1082.18,5018.65,3757.39,2023.45,1.92
Croatia,kn,0.13,15236.04,4445.79,55,250,45,16,11.92,11.33,14.16,9.93,6.63,6.94,12.79,16.2,57.76,53.56,67.94,9,10.16,10.2,12.19,5.16,5.59,6.06,6.98,40,8.74,32.5,8,332,20,6,50,10.9,160000,161540.29,1221.7,0.86,184.02,282.95,79.35,40,866.81,34351.88,546.25,236.97,522.99,617.06,3068.69,2347.97,4960.36,3699.66,19909.48,14776.24,6931.34,3.71
Bulgaria,лв,0.51,3351.25,962.52,15,60,11.25,3,2.46,2.84,1.97,1.39,2.21,1.53,3,3.53,12.67,10.36,16.31,2.62,2.7,2.34,3.68,1.42,1.34,1.4,1.03,10,1.49,6,1.6,50,1.6,0.99,13.2,2.68,40000,37891.18,227.06,0.29,20.77,45.7,19.41,12,599.92,9016.88,100.74,51.16,129.3,149.01,666,499.4,1070.09,849.28,3011.54,2049.17,1363.91,3.32
Estonia,€,1,2264.13,665.55,10,50,6,4,1.74,2.82,1.56,1.32,0.8,0.87,1.47,1.68,7.24,5.73,11.08,1.43,1.07,1.72,2.13,0.67,0.56,1.18,0.8,7,1.34,4.95,1.5,20,2.5,0.7,12.89,1.52,20000,20361.87,199.35,0.04,24.28,42.75,23.46,8,153.01,8736.67,73.07,28.6,69.03,92.01,488.1,367.98,834.04,603.59,2633.81,1804.43,1197.19,2.48
Andorra,€,1,2546.81,698.83,12,42.5,8,2,1.65,1.58,1.85,1.45,0.83,1.17,1.33,2.52,15.67,11,19,1.33,1.4,1.67,2.27,1.35,1.05,0.97,0.93,4.5,0.92,4,1.85,45,2.6,1.15,5,1.15,18000,16000,87.77,0.35,39.17,37.12,11.61,7,523.33,8650,68.33,38.33,78.75,92.5,727.79,546.67,1342.86,951.67,3816.67,3266.67,2256.88,3
Belgium,€,1,2879.56,810.95,15,70,9,4,2.01,2.93,2.46,2.16,0.92,1.7,1.86,2.61,11.95,8.98,14.69,2.27,1.61,2.34,2.27,1.37,1.19,1.08,0.78,6.5,1.61,7.5,2.5,49,4.98,2,30,1.82,24890,24500.77,156.88,0.21,47.76,27.02,17.7,11,508.05,17822.5,87.46,38.19,83.75,112.27,801.53,626.73,1152.64,927.6,3364.91,2669.76,2307.25,1.7
Bosnia+And+Herzegovina,KM,0.51,2917.94,865.89,8,40,8,2.87,1.84,2.06,2.4,1.34,1.42,1.13,2.22,3.23,10.68,10.36,14.53,1.79,2.28,2.39,2.35,1.19,1.42,1.35,1.11,10,1.35,6,1.8,50,2,1,11,2.36,35000,35623.97,248.73,0.2,42.52,41.58,20.09,7,251.66,4273.01,107.48,58.2,134.32,155.24,373.81,262.96,622.21,429.94,2453.59,1799.49,1058.47,3.64
Finland,€,1,2962.05,815.02,12,70,8,6,3.12,3.58,2.4,1.47,0.96,2.09,2.08,2.17,7.09,10.19,14.66,2.27,1.66,2.17,3.36,1.05,1.49,1.72,1.43,12,2.67,8.62,3,58,6,1.55,47,2.22,25000,26498.72,116.39,0.07,23.39,37.69,22.87,14,302.89,6714.21,83.78,37.02,79.76,118.27,820.14,679.75,1158.13,918.16,4434.81,2713.79,2439.54,1.43
France,€,1,3058.22,851.03,15,60,9,6,2.38,2.85,2.61,1.67,1.01,1.51,1.87,3.06,15.69,10.22,18.18,2.56,1.92,2.43,2.9,1.73,1.94,1.14,0.69,7,2.06,10,1.6,65.5,2.4,1.74,25.2,1.99,23999,23972.19,151.8,0.16,28.89,33.24,14.5,10,600.88,9876.35,80.15,34.98,83.02,109.8,806.91,619.73,1667.88,1141.07,6733.11,4535.86,2258,1.48
Germany,€,1,2756.62,801.94,10,50,8,3.7,1.35,2.88,2.42,2.14,0.91,1.63,1.94,2.39,11.97,7.09,13.68,2.41,1.62,2.09,0.98,1.49,0.89,1.18,0.52,5,0.57,7,2.8,70,3.5,2,30,2.2,24330,23830.11,233.11,0.1,33.58,30.01,20.5,12,324.29,12096.5,76.96,36.2,80.54,105.9,877.37,623.26,1605.33,1186.02,6691.8,4804.38,2817.75,1.81
Hungary,Ft,0.0026,641119.72,186290.81,2200,12500,1750,600,364.08,549.41,371.04,308.51,253.94,283.41,412.34,596.95,2434.29,1572.41,2950.74,470.36,456.89,510.34,880.42,320.04,303.14,347.66,120.97,1450,285.42,1800,350,9500,700,300,4500,474.48,6500000,6744114.94,49115.97,29.25,4721.5,12376.05,3180.41,1990,86959.88,2168292.68,22571.06,10187.58,25480.77,25667.09,143501.98,112558.82,254259.71,195634.9,963414.63,663557.63,300188.23,5.16
Greece,€,1,2213.83,642.77,10,40,7,4,1.94,2.94,1.7,0.5,1.22,0.9,1.74,3.14,8.29,6.78,9.28,1.64,1.57,1.1,1.5,0.84,0.77,0.74,0.78,6,1.36,4.6,1.2,30,3.5,1,12,2.08,20000,19391.16,164.39,0.41,32.76,34.94,15,8,309.98,6064.31,69.26,30.88,71.53,86.96,395.13,333.35,685.16,632.79,1910.56,1575.64,743.22,4.33
Australia,A$,0.67,4786.69,1329.27,20,100,12.5,8,6.15,4.63,3.46,2.92,1.7,2.88,2.71,4.86,11.11,10.97,18.43,4.35,3.6,3.8,5.74,3.24,2.62,2.76,2.17,15,5.69,38,4.5,154.56,4.15,2.16,50,1.98,30000,26920.24,197.16,0.38,76.91,65.88,19.57,18,2011.02,17196.64,99.75,59.09,138.01,143.63,1914.08,1419.8,3157.6,2234.75,7655.71,5226.75,5704.71,3.04
Iceland,kr,0.0072,575428.12,155969,2500,13000,1889.5,1200,370.71,593.63,324.75,269.56,186.94,399,383.18,695.92,1786.18,2140.28,3275.76,357.63,308.99,321.14,533.94,308.54,162.79,329.14,252.83,2500,404.12,1494.5,490,12000,740,331,7920,250.41,3990000,4385882.35,15348.83,20.57,9461.96,8807.03,4625.77,1700,37950.5,737333.33,15539.2,7799.5,20855.22,25469.5,180000,145467.42,259406.04,224484.2,635887.38,483422.05,436069.02,5.1
Ireland,€,1,3038.88,854.68,15,70,8.55,5,2.76,3.37,1.85,1.44,1.07,1.61,1.31,2.83,7.5,8.34,9.59,2.28,1.73,2.2,2.52,1.52,1.18,0.95,1.28,10,2.65,14.5,2.69,100,4,1.27,24,1.83,27750,27499.98,155.29,0.32,49.38,43.61,17.09,11,925.51,7809.5,73.79,33.66,77.79,84.97,1480.62,1226.31,2526.6,1979.28,3891.8,2872.85,2595.13,3.34
Liechtenstein,Fr.,0.96,4261.77,1170.5,25,97.5,14,5,2,4.83,4.33,3.17,1.67,3.48,2,7.06,14.4,9.92,23,2.67,3.7,4.35,4.5,1.92,2.08,1.94,0.95,15,1.96,9,4.67,50,1.6,1.03,7.01,1.65,25790.27,34239.98,182.36,0.15,50.67,73.06,27.67,18,225,12240,88.26,42.04,98.55,140.4,1222.44,923.22,2261.49,1815,5266.33,2766.67,5542.78,8.41
Latvia,€,1,2058,612.63,7,36.5,5.95,2.39,1.44,2.32,1.16,0.97,1,0.89,1.58,1.81,7.08,5.28,8.26,1,1.19,1.54,2.24,0.54,0.53,1.04,0.66,6,1.18,4,1.15,40,2,0.7,10,1.59,20000,19481.43,206.61,0.1,14.44,33.92,20.05,7.7,305.75,14329.82,54.5,35.63,61.33,91.55,319.2,238.5,560.85,408.67,1562.9,909,855.7,2.54
Italy,€,1,2664.88,755.24,15,60,8,5,1.86,1.42,2.16,1.06,1.15,1.57,1.91,2.76,12.2,8.34,14.62,1.82,1.61,1.77,2.28,1.24,1.29,1.04,0.41,5,1.37,5.6,1.5,35,5,1.2,27,2.19,23000,24650.64,165.08,0.16,28.68,46.33,18.83,8.5,434.43,9645.85,74.41,31.38,80.31,105.48,701.19,524.53,1331.47,917.67,3815.43,2193.81,1440.17,1.61
Lithuania,€,1,1962.92,570.58,8,40,5,3.5,1.46,2.27,1.49,1.22,1.02,1.01,1.7,1.71,7.54,4.97,7.64,1.03,1.06,1.36,1.97,0.55,0.48,1.06,0.67,7,1.12,4.35,0.97,29,1,0.62,9,1.62,19900,19821.72,154.97,0.13,12.45,29.98,18.52,7.5,403.75,6977.09,68.36,32.2,73,90,502.09,337.14,897.29,571.67,2966.35,1753.59,1022.89,2.36
Luxembourg,€,1,3332.5,964.66,17,70,10,5,2.08,3.41,2.8,2.79,1.24,2.69,1.88,4.2,18.31,11.53,18.92,2.62,1.76,2.36,3.07,1.58,2.23,1.36,0.71,8,1.98,5.4,0,0,3.5,2.9,31.3,1.38,24580,24859.44,258.45,0.2,54.73,45.9,25,12,1242.67,14723.08,87.86,39.08,97.5,138.85,1582.14,1318.32,2875,2308.82,11443.95,8590.47,3714.9,1.89
Malta,€,1,2679.12,732.17,15,60,8.18,2.5,2.31,2.25,1.83,1.19,1.01,1.1,2.22,2.43,8.71,7.41,14.09,2.57,1.86,2.5,2.54,1.86,2,1.5,0.91,6,1.52,5.9,1.75,26,5,2,30,1.37,22000,24965.73,87.25,0.29,34.07,58.48,21.33,9,377.14,7918.33,69.02,36.4,81.14,90.81,819.41,682.87,1448.5,1105.5,3372.03,2498.34,1139.77,4.16
Moldova,L,0.051,26636.34,7985.9,97.49,500,80,20,25.65,23.59,13.72,9.8,15.33,6.16,19.53,28.81,133.09,70.24,102.73,12.23,21.7,23.41,23.37,7.85,6.86,15.88,10.38,60,16.28,39.5,2,145,25,4,60,22.9,301180,392690.12,2569.13,1.63,169.25,365.99,186.67,100,4930.5,46448.99,996.6,609.54,1480.35,1615.86,5145.54,3503.03,8814.72,6726.45,18716.41,12604.88,7378.36,8.49
Monaco,€,1,4893.52,1345.83,30,125,10,7.59,3.25,4.24,5.42,6.09,2,2.75,2.88,2.98,19.5,12.75,18.33,2.5,4.67,2.62,2.62,2.62,2.67,2,2.71,12,2,10,2,45,3,2,60,1.69,25000,25333.33,204,0.03,57.8,138.06,38.33,12.5,2500,28000,97.5,40.67,118.33,397.67,5214.29,3421.4,19857.14,10625,81428.57,59571.43,5561.11,1.88
Montenegro,€,1,1595.97,457.93,6,25,4,2,1.19,1.42,1.67,1.16,0.83,0.59,1.4,1.77,5.54,4.67,6.89,0.92,1.14,1.07,1.32,0.57,0.77,0.77,0.59,5,0.81,3.5,1,30,1,0.75,7,1.32,20000,19299,93.37,0.12,24.56,31.3,9.56,5,173.24,6428.57,56.05,28.53,68.64,86.45,320.52,242.34,673.33,509.33,1670,1222.73,501,5.4
New+Zealand,NZ$,0.6,5035.7,1392.45,21,110,13,9,5.25,4.93,3.44,2.88,2.8,2.99,3.02,6.51,13.09,13.34,20.37,4.13,3.14,4.52,4.94,2.98,2.59,3.69,1.72,15,4.6,35.7,3,150,3.5,3,60,2.8,36000,32290.73,193.12,0.42,82.86,60.59,21.68,17,1112,16982.76,105.84,61.7,146.82,174.55,1630.76,1275.49,2661.98,2175.83,7883.01,5628.06,4170.9,3.99
Netherlands,€,1,3199.45,904.31,15,60,8.72,5,1.7,2.96,2.51,2.07,0.99,1.94,1.91,1.74,11.13,7.98,27.44,2.65,1.29,1.38,2.52,0.96,0.89,0.75,0.66,5.99,1.19,8,3,90,3.75,2.22,30,2.11,25000,25850.05,198.03,0.15,41.68,33.41,19.47,12,1458.72,6881.72,80.75,35.65,85.09,110.24,1201.18,933.95,1897.85,1472.34,5380.79,3814.18,3141.32,1.8
North+Macedonia,ден,0.016,79996.07,23611.39,250,1000,180,90,62.49,71.43,65.69,47.22,51.56,28.93,63.4,95.87,311.02,261.33,436.75,43.66,59.89,55,62.97,32.75,31.55,26.06,23.94,240,45.15,150,35,1200,50,30,300,71.56,1107000,1129888.67,6246.8,6.07,935.57,1078.01,539.86,250,6762.36,141600,2693.54,1736.14,3976.49,4332.86,11014.7,7809.19,17405.24,12989.23,65157.47,48610.17,22293.99,5.09
Norway,kr,0.099,39470.7,10969.38,190,834.95,120,90,40.36,42.39,30.77,26.87,19.01,27.5,27.21,36.95,106.78,129.47,264.3,28.64,22.82,28.24,34.4,20.74,22.22,22.31,20.39,150,32.43,137,39,740,100,15,500,20.29,340000,332361.28,1856.58,1.16,518.79,411.85,303.55,130,3242.08,51423.4,853.9,406.29,973.8,1275.07,10483.33,8156.11,18022.47,13715.1,55228.62,39561.05,32495.97,2.7
Poland,zł,0.21,8021.85,2421.69,30,150,25,10,4.94,10.72,5.56,4.78,2.79,3.61,3.99,9.98,25.55,17.73,36.19,3.64,4.9,5.54,10.26,2.59,3.13,3.68,2.06,25,3.44,18,4,100,8,2.5,40,6.05,78600,92010.41,866.85,0.25,56.15,117.9,59.72,25,1153.64,22618.54,295.01,141.48,287.12,323.1,2294.49,1931.65,3582.94,2921.11,14345.09,10333.29,4466.5,4.52
