Field,Group,Albania,Czech+Republic,Denmark,Austria,Croatia,Bulgaria,Estonia,Andorra,Belgium,Bosnia+And+Herzegovina,Finland,France,Germany,Hungary,Greece,Australia,Iceland,Ireland,Liechtenstein,Latvia,Italy,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,New+Zealand,Netherlands,North+Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United+Kingdom
Currency_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curency,Currency_info,Lek,Kč,kr,€,kn,лв,€,€,€,KM,€,€,€,Ft,€,A$,kr,€,Fr.,€,€,€,€,€,L,€,€,NZ$,€,ден,kr,zł,€,lei,Дин,€,€,€,kr,Fr.,£
Exchange_to_eur,Currency_info,0.0083,0.04,0.13,1,0.13,0.51,1,1,1,0.51,1,1,1,0.0026,1,0.67,0.0072,1,0.96,1,1,1,1,1,0.051,1,1,0.6,1,0.016,0.099,0.21,1,0.2,0.0085,1,1,1,0.096,0.96,1.18
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family_of_4_monthly_costs,Summary,175470.62,49470.64,24923.59,2966.15,15236.04,3351.25,2264.13,2546.81,2879.56,2917.94,2962.05,3058.22,2756.62,641119.72,2213.83,4786.69,575428.12,3038.88,4261.77,2058,2664.88,1962.92,3332.5,2679.12,26636.34,4893.52,1595.97,5035.7,3199.45,79996.07,39470.7,8021.85,1881.2,8138.37,178404.9,1940.81,2203.98,2191.86,32083.59,5282.53,2287.81
Single_person_monthly_costs,Summary,50069.88,14783.81,6941.32,850.36,4445.79,962.52,665.55,698.83,810.95,865.89,815.02,851.03,801.94,186290.81,642.77,1329.27,155969,854.68,1170.5,612.63,755.24,570.58,964.66,732.17,7985.9,1345.83,457.93,1392.45,904.31,23611.39,10969.38,2421.69,538.18,2339.2,52727.9,569.86,652.76,620.46,8650.27,1435.61,658.95
Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meal_Inexpensive_Restaurant,Restaurants,525,160,130,13,55,15,10,12,15,8,12,15,10,2200,10,20,2500,15,25,7,15,8,17,15,97.49,30,6,21,15,250,190,30,8,30,700,6,9,11,101,25,13
Meal_for_2_People_3course,Restaurants,3000,800,600,55,250,60,50,42.5,70,40,70,60,50,12500,40,100,13000,70,97.5,36.5,60,40,70,60,500,125,25,110,60,1000,834.95,150,35,150,3000,30,35,45,800,100,50
McMeal_at_McDonalds,Restaurants,500,155,79,8,45,11.25,6,8,9,8,8,9,8,1750,7,12.5,1889.5,8.55,14,5.95,8,5,10,8.18,80,10,4,13,8.72,180,120,25,6.5,25,600,6,6,8,85,15,6
Domestic_Beer,Restaurants,150,40,50,3.85,16,3,4,2,4,2.87,6,6,3.7,600,4,8,1200,5,5,2.39,5,3.5,5,2.5,20,7.59,2,9,5,90,90,10,2,8,200,1.5,2.5,2.5,70,6,4
Imported_Beer,Restaurants,147,31.96,15.83,1.58,11.92,2.46,1.74,1.65,2.01,1.84,3.12,2.38,1.35,364.08,1.94,6.15,370.71,2.76,2,1.44,1.86,1.46,2.08,2.31,25.65,3.25,1.19,5.25,1.7,62.49,40.36,4.94,1.71,5.93,115.68,1.27,1.68,1.56,19.2,2.38,2
Cappuccino,Restaurants,137.55,56.08,37.49,3.15,11.33,2.84,2.82,1.58,2.93,2.06,3.58,2.85,2.88,549.41,2.94,4.63,593.63,3.37,4.83,2.32,1.42,2.27,3.41,2.25,23.59,4.24,1.42,4.93,2.96,71.43,42.39,10.72,1.39,8.92,160.03,2.01,1.54,1.65,38.63,4.7,2.82
